# Editing
a|Append
A|Append from end of line
i|Insert
I|Insert at beginning of line
o|Next line
O|Previous line
cl|Delete char and insert
cc|Delete line and insert
c$|Delete until end of line and insert
c^|Delete until beginning of line non-zero
c0|Delete until beginning of line
cs|Delete and insert until flash selection
ciw|Change inner word
ci"|Change inside quotes
ci[|Change inside brackets
r|Replace one character
R|Enter Replace mode
u|Undo changes
<C-R>|Redo changes
x|Delete character
dd|Delete line (Cut)
<C-S>|save
[Space|Add empty line before
]Space|Add empty line after
J|Join line below to current line with space in between
gJ|Join line below to current line without space in between
xp|Swap character under cursor with next character
.|Repeat last change command
:g/{pattern}/d|delete all lines containing pattern
:g!/{pattern}/d|delete all lines not containing pattern

# Search and replace
n|Next matching search pattern
N|Previous match
*|Next whole word under cursor
/|Search down
#|Previous whole word under cursor
?|Search up
:%s/old/new/g|replace all old with new throughout file
:%s/old/new/gc|replace all old with new throughout file with confirmations

# Visual Mode
v|Enter visual mode
V|Enter visual line mode
<C-V>|Enter visual block mode
d / x|Delete selection
s|Select until next flash selection
y|Yank selection to vim keyboard
yy|Yank line to vim keyboard
<leader> y|Yank to system clipboard
<leader> yy|Yank line to system clipboard
<leader> p|Paste from system clipboard
<leader> fP|Paste from yank history
<C-`>|Select block using flash
p|put (paste) the clipboard after cursor
P|put (paste) before cursor
gp|put (paste) the clipboard after cursor and leave cursor after the new text
gP|put (paste) before cursor and leave cursor after the new text
:3,5d|delete lines starting from 3 to 5
o|Move cursor to other end of selection
O|Move cursor to other corner of block selection

# Insert Mode
<C-W>|Delete word before cursor
<C-U>|Delete all entered text in current line
<C-O>|Execute one normal mode command then return to insert mode
<C-G>u|Start new undo block
<M-W>|Exit insert mode and go the the next word

# Navigating
w|jump forwards to the start of a word
W|jump forwards to the start of a WORD
e|jump forwards to the end of a word
E|jump forwards to the end of a WORD
b|jump backwards to the start of a word
B|jump backwards to the start of a WORD
ge|jump backwards to the end of a word
gE|jump backwards to the end of a WORD
fc|Go forward to character c
Fc|Go backward to character c
;|Repeat last FfTt
,|Repeat previous FfTt
zz|Center this line
zt|Top this line
zb|Bottom this line
H|Move to the left tab
M|Move to middle of screen
L|Move to the right tab
{|Previous paragraph
}|Next Paragraph
<C-E>|Screen down one line without moving cursor
<C-Y>|Screen up one line without moving cursor
<C-D>|Half page down
<C-U>|Half page up
10gg|Move to line 10
gg|Move to the beginning of file
G|Move to the end of file
0|Start of line
^|Start of line (after whitespace)
$|End of line
g_|Last non-blank character of line
%|Nearest/matching {[()]}
[( [{ [<|Previous ( or { or <
])|Next )

# Windows
<C-W>s|split window
<C-W>v|split window vertically
<C-W>w|switch windows
<C-W>q|quit a window
<C-W>x|exchange current window with next one
<C-W> =|make all windows equal height & width
<C-H>|move cursor to the left window (vertical split)
<C-L>|move cursor to the right window (vertical split)
<C-J>|move cursor to the window below (horizontal split)
<C-K>|move cursor to the window above (horizontal split)
<C-W>H|move current window to far left (leftmost vertical window)
<C-W>L|move current window to far right (rightmost vertical window)
<C-W>J|move current window to very bottom (bottommost horizontal window)
<C-W>K|move current window to very top (topmost horizontal window)


# Operators
d|Delete
y|Yank (copy)
v|Select
c|Change (delete then insert)
>|Indent right
<|Indent left
=|Auto Indent
g~|Swap case
gU|Uppercase
gu|Lowercase

# Text objects
p|Paragraph
w|Word
s|Sentence
[({|A [] () or {} block
'"`|A quoted string
b|A block [(
B|A block in [{
t|A XML tag block

# Folds
zo|Open
zc|Close
za|Toggle
zM|Close all
zR|Open all

# Marks
`^|Last position of cursor in insert mode
`.|Last change in current buffer
`"|Last exited current buffer
`0|In last file edited
''|Back to line in current buffer where jumped from
``|Back to position in current buffer where jumped from
`[|To beginning of previously changed or yanked text
`]|To end of previously changed or yanked text
`<|To beginning of last visual selection
`>|To end of last visual selection
ma|Mark this cursor position as a
`a|Jump to the cursor position a
'a|Jump to the beginning of the line with position a
d'a|Delete from current line to line of mark a
d`a|Delete from current position to position of mark a
c'a|Change text from current line to line of a
y`a|Yank text from current position to position of a
<leader>sm|List all current marks
:delm a|Delete mark a
:delm a-d|Delete marks abcd
:delm abc|Delete marks abc

# Jumping
<C-O>|Go back to previous location
<C-I>|Go forward
gf|Go to file in cursor

# Counters
<C-A>|Increment
<C-X>|Decrement

